"","Species","Layer","total_DIC_mg","mod_type"
"1","Chaetognath","Epi",5.62631583922531,"mesomizer"
"2","Chaetognath","Umeso",0.492302635932215,"mesomizer"
"3","Chaetognath","Lmeso",0.914276323874113,"mesomizer"
"4","Cranchidae","Epi",0.125236562166834,"mesomizer"
"5","Cranchidae","Umeso",0.00659139800878075,"mesomizer"
"6","Cranchidae","Lmeso",0.0329569900439038,"mesomizer"
"7","Euphausia similis","Epi",0.207536524430405,"mesomizer"
"8","Euphausia similis","Umeso",0.0367786245826034,"mesomizer"
"9","Euphausia similis","Lmeso",0.0183893122913017,"mesomizer"
"10","Lampanyctus australis","Epi",0.0517774581900629,"mesomizer"
"11","Lampanyctus australis","Umeso",0.140538815087313,"mesomizer"
"12","Lampanyctus australis","Lmeso",0.0542430514372087,"mesomizer"
"13","Pyrosoma atlanticum","Epi",7.21015786807701,"mesomizer"
"14","Pyrosoma atlanticum","Umeso",9.05461685758508,"mesomizer"
"15","Pyrosoma atlanticum","Lmeso",0.503034269865838,"mesomizer"
"16","Sergestes spp","Epi",0.0652368875595041,"mesomizer"
"17","Sergestes spp","Umeso",0.0269456709484908,"mesomizer"
"18","Sergestes spp","Lmeso",0.0496367622735357,"mesomizer"
"19","Themisto spp","Epi",0.0812728899784145,"mesomizer"
"20","Themisto spp","Umeso",0.0199617624508386,"mesomizer"
"21","Themisto spp","Lmeso",0.0413493650767372,"mesomizer"
"22","Thysannoessa macura","Epi",0.141210156208817,"mesomizer"
"23","Thysannoessa macura","Umeso",0.00931055975003189,"mesomizer"
"24","Thysannoessa macura","Lmeso",0.00465527987501595,"mesomizer"
