"","higher_taxa","Layer","total_POC_mg","POC_layer","percent_cont"
"1","Gelatinous (other)","Epi",3.83079213052421,6.57908856575337,0.58226790720905
"2","Gelatinous (other)","Umeso",0.340668948052435,3.61744859163771,0.0941738187627447
"3","Gelatinous (other)","Lmeso",0.672041279058198,1.01775068365335,0.660320145053421
"4","Fish","Epi",0.0166252452193004,6.57908856575337,0.00252698303923754
"5","Fish","Umeso",0.0331602797889053,3.61744859163771,0.00916675909798978
"6","Fish","Lmeso",0.125167409754262,1.01775068365335,0.122984353402699
"7","Squid","Epi",0.0274937658440963,6.57908856575337,0.00417896271942768
"8","Squid","Umeso",0.00144704030758401,3.61744859163771,0.000400016827033582
"9","Squid","Lmeso",0.00723520153792007,1.01775068365335,0.00710901171979405
"10","Krill","Epi",0.0974505815957873,6.57908856575337,0.0148121705038376
"11","Krill","Umeso",0.0126746176047084,3.61744859163771,0.00350374505224697
"12","Krill","Lmeso",0.00633730880235419,1.01775068365335,0.00622677921434116
"13","P. atlanticum","Epi",2.56006742820232,6.57908856575337,0.389121897754719
"14","P. atlanticum","Umeso",3.21496839820757,3.61744859163771,0.888739208523783
"15","P. atlanticum","Lmeso",0.178609355455976,1.01775068365335,0.175494213194566
"16","Crustaceans (other)","Epi",0.0466594143676537,6.57908856575337,0.00709207877372764
"17","Crustaceans (other)","Umeso",0.0145293076765054,3.61744859163771,0.00401645173620218
"18","Crustaceans (other)","Lmeso",0.02836012904464,1.01775068365335,0.0278654974151799
