"","higher_taxa","Layer","total_DIC_mg","DIC_layer","percent_cont"
"1","Gelatinous (other)","Epi",1.63574509648447,2.03818561282311,0.802549623642365
"2","Gelatinous (other)","Umeso",0.18101033272849,0.420117150239583,0.430856804168227
"3","Gelatinous (other)","Lmeso",0.334547862984399,0.879228887160217,0.380501446062515
"4","Fish","Epi",0.0510727184152746,2.03818561282311,0.0250579329448476
"5","Fish","Umeso",0.137865559769598,0.420117150239583,0.328159799453501
"6","Fish","Lmeso",0.411948554781906,0.879228887160217,0.468533917388043
"7","Squid","Epi",0.192189741718585,2.03818561282311,0.0942945237712583
"8","Squid","Umeso",0.0101152495641361,0.420117150239583,0.02407721169766
"9","Squid","Lmeso",0.0505762478206803,0.879228887160217,0.0575234146185009
"10","Krill","Epi",2.17993065061772e-10,2.03818561282311,1.06954471511468e-10
"11","Krill","Umeso",1.44059189498916e-11,0.420117150239583,3.42902424756433e-11
"12","Krill","Lmeso",7.20295947494579e-12,0.879228887160217,8.1923598964205e-12
"13","P. atlanticum","Epi",0.0393712317937039,2.03818561282311,0.0193168038995087
"14","P. atlanticum","Umeso",0.0494429422525584,0.420117150239583,0.117688464335156
"15","P. atlanticum","Lmeso",0.00274683012514213,0.879228887160217,0.0031241354387411
"16","Crustaceans (other)","Epi",0.119806824193083,2.03818561282311,0.0587811156350663
"17","Crustaceans (other)","Umeso",0.0416830659103953,0.420117150239583,0.0992177203111667
"18","Crustaceans (other)","Lmeso",0.079409391440887,0.879228887160217,0.0903170864840075
