"","Layer","POC_inject","POC_rem_DIC","DIC_inject","Total DIC"
"1","Epi",6.48250864002341,0.713075950402575,3.89769828682375,4.61077423722633
"2","Umeso",5.49599124469575,1.23919663277482,3.44498349213652,4.68418012491134
"3","Lmeso",1.36892658192479,1.25346692718132,1.00024468881909,2.25371161600041
"4","Bathy",NA,NA,NA,10.1416869562852
