"","Layer","POC_mg","DIC_inject","DIC_mg","DIC_remin","POC_export"
"1","Epi",6.95507805306448,6.60451459048832,10.8804727828329,4.27595819234461,0.224041807655388
"2","Umeso",1.56817496335419,2.3919457082486,5.55693713039279,3.16499142214419,0.0590503855111979
"3","Lmeso",1.28910358031975,1.47331781145884,2.19236377897178,0.719045967512937,4.41799826132331e-06
